Employee_ID,Age,Gender,Department,Job_Level,Salary,Years_at_Company,Performance_Score,Last_Promotion_Date,Absence_Days,Work_Location
E8890,56,Male,Sales,3,4182,14,2,12/09/2023,13,Hybrid
E5920,38,Female,Sales,2,7434,19,1,17/05/2020,13,Hybrid
E7345,48,Female,HR,2,4308,5,1,9/03/2024,2,Remote
E3576,44,Non-binary,HR,1,3629,6,5,16/04/2024,3,In-office
E3020,45,Non-binary,Engineering,3,7617,16,2,25/04/2021,7,Remote
E7535,42,Female,HR,1,3320,18,4,6/02/2023,7,Hybrid
E1516,54,Female,Marketing,2,5064,10,2,16/02/2024,11,In-office
E8287,55,Non-binary,HR,2,3160,7,5,26/09/2020,3,Hybrid
E5793,47,Male,Marketing,3,8910,2,4,12/04/2024,0,Hybrid
E2187,54,Female,Engineering,2,4155,16,1,31/08/2023,11,Remote
E3158,39,Male,Engineering,1,6440,8,4,18/09/2021,10,In-office
E4605,57,Non-binary,Engineering,3,8325,14,5,10/08/2023,15,Hybrid
E3207,37,Female,Sales,1,8768,9,1,13/06/2022,11,Hybrid
E6677,43,Female,Sales,3,5340,19,4,21/02/2021,14,Hybrid
E6881,52,Female,Sales,2,5366,14,2,12/11/2023,14,Remote
E6706,29,Male,HR,2,3638,17,2,20/03/2021,14,In-office
E2866,50,Female,Marketing,3,6589,18,3,20/06/2020,8,Hybrid
E7782,31,Non-binary,Engineering,3,8034,12,4,19/05/2022,9,Hybrid
E8070,32,Male,HR,1,6263,13,4,25/08/2023,10,Remote
E3804,35,Male,Engineering,1,6751,18,4,10/05/2021,0,Remote
E7741,45,Female,HR,3,8094,16,3,6/12/2020,7,In-office
E9271,39,Non-binary,Marketing,2,5147,12,3,12/04/2024,3,Remote
E1119,42,Non-binary,Sales,1,7350,10,1,17/11/2023,1,Hybrid
E9942,54,Female,Engineering,1,8040,18,4,9/12/2024,10,Hybrid
E6767,52,Male,Engineering,3,5613,10,2,11/10/2022,2,Remote
E3233,49,Male,HR,2,8916,5,4,29/03/2023,8,Remote
E4374,25,Male,Marketing,3,8913,9,1,10/08/2023,13,In-office
E4511,52,Female,Marketing,3,3285,10,4,6/05/2020,12,Hybrid
E9146,26,Female,HR,1,7300,4,2,20/07/2023,1,Remote
E5489,59,Female,Sales,1,7728,18,3,21/09/2020,15,Hybrid
E9520,30,Female,Engineering,1,7549,20,4,1/11/2020,8,In-office
E4213,41,Male,HR,1,7809,20,4,11/05/2022,0,In-office
E6319,36,Male,Engineering,3,4834,18,4,3/02/2025,1,Remote
E6128,45,Male,HR,3,6052,13,5,12/02/2024,10,Hybrid
E9124,38,Female,Marketing,1,4013,3,1,2/01/2025,13,In-office
E9370,33,Female,Marketing,1,6147,19,3,12/08/2021,2,In-office
E1531,41,Female,HR,2,3707,6,1,6/01/2024,12,Hybrid
E7646,50,Female,HR,1,7837,14,2,6/02/2020,13,In-office
E6274,36,Non-binary,Marketing,3,4994,4,4,9/07/2021,14,Remote
E5607,37,Non-binary,Sales,2,8762,18,4,15/05/2023,6,In-office
E8696,52,Female,Engineering,1,7990,5,3,23/09/2024,6,Remote
E4954,24,Female,HR,2,7377,12,1,3/04/2024,0,Hybrid
E2372,52,Male,Marketing,3,6757,20,2,6/09/2020,10,Hybrid
E5614,42,Female,Marketing,1,4421,3,1,13/11/2021,0,Remote
E5584,36,Female,Marketing,3,6409,2,2,20/02/2023,7,Hybrid
E1516,35,Male,HR,3,8457,17,1,28/04/2023,9,In-office
E7299,24,Non-binary,HR,3,7940,8,4,5/12/2020,14,Hybrid
E3957,44,Non-binary,Sales,2,6908,9,5,30/06/2023,10,Remote
E6871,31,Non-binary,Marketing,2,7238,5,2,8/11/2022,4,Hybrid
E6224,60,Female,Marketing,1,6672,7,4,12/07/2021,6,Remote
E6842,52,Female,HR,2,4616,4,5,5/06/2021,7,Remote
E5365,50,Non-binary,Sales,3,6485,14,3,3/01/2020,8,Remote
E5928,48,Male,Sales,2,3397,2,5,10/04/2023,1,Remote
E4713,25,Male,Sales,1,4290,10,1,22/06/2022,12,Hybrid
E5123,54,Female,Marketing,1,5470,3,4,1/04/2024,15,Hybrid
E4479,30,Non-binary,Marketing,3,4589,1,5,15/05/2024,3,In-office
E4651,42,Non-binary,Sales,2,8796,9,4,17/10/2020,5,Remote
E2132,46,Non-binary,Engineering,1,8049,20,1,30/06/2022,10,Remote
E1799,58,Non-binary,Marketing,1,8500,19,3,28/04/2021,4,Hybrid
E6452,24,Female,Marketing,2,6343,10,1,7/10/2022,10,Remote
E6732,39,Non-binary,Sales,3,7861,5,3,15/01/2020,15,Remote
E1863,32,Female,Engineering,2,6220,18,5,12/03/2022,8,Remote
E1225,49,Female,Marketing,1,7091,18,1,29/06/2024,11,Hybrid
E8011,48,Female,Sales,1,8180,10,3,23/09/2022,10,Remote
E6869,44,Female,Sales,2,6513,2,1,24/03/2023,15,Remote
E1554,57,Non-binary,Engineering,2,5876,3,3,24/01/2021,12,Hybrid
E3844,36,Female,Engineering,1,3324,14,2,14/06/2020,9,In-office
E8335,44,Male,HR,1,3712,15,4,3/09/2023,15,In-office
E7879,36,Male,Engineering,3,7316,9,4,29/07/2024,15,In-office
E5755,47,Non-binary,HR,3,4791,17,3,18/09/2020,3,Hybrid
E1789,54,Male,Sales,2,5327,7,2,14/07/2022,6,Remote
E2851,51,Non-binary,Engineering,1,5770,14,3,18/03/2024,5,Hybrid
E9306,35,Female,Sales,3,4759,15,1,12/07/2023,12,In-office
E3210,47,Male,Engineering,1,4120,11,5,3/07/2023,10,In-office
E8699,45,Female,Sales,1,7527,16,3,25/01/2024,4,Hybrid
E2265,56,Non-binary,Engineering,2,5398,16,4,30/10/2021,11,In-office
E8297,23,Female,HR,1,4211,8,1,22/08/2022,10,Remote
E1046,59,Non-binary,Engineering,2,3796,14,3,26/08/2021,6,In-office
E6598,49,Male,Marketing,1,7194,5,4,21/05/2020,10,In-office
E2197,42,Male,HR,1,6880,13,2,19/01/2025,7,Hybrid
E5893,23,Non-binary,Marketing,2,8981,7,1,13/04/2022,11,Hybrid
E3048,22,Female,Engineering,2,4236,7,3,25/07/2023,5,In-office
E6246,56,Female,Sales,2,8646,13,5,31/12/2022,2,In-office
E7601,60,Female,Sales,2,3492,16,4,6/12/2022,11,Hybrid
E2479,36,Male,Sales,3,5225,19,2,21/10/2021,12,In-office
E4654,24,Female,Engineering,2,5150,6,5,7/06/2024,12,Remote
E4357,31,Female,HR,3,8648,16,2,9/02/2023,12,Hybrid
E3248,35,Male,Marketing,1,3342,11,2,24/03/2024,2,In-office
E1509,50,Male,HR,2,3046,6,4,6/04/2022,7,Remote
E4414,34,Male,Engineering,3,5147,6,5,12/04/2023,0,In-office
E5072,23,Male,HR,2,4822,12,2,12/04/2024,13,Remote
E2903,29,Male,HR,1,6753,6,5,15/10/2022,5,In-office
E4092,44,Male,Marketing,3,5575,7,5,7/11/2023,11,In-office
E7065,55,Male,Marketing,3,3702,16,5,25/04/2021,1,In-office
E3704,32,Non-binary,Marketing,3,3865,4,5,4/08/2021,4,Remote
E9381,58,Male,Engineering,2,5664,9,5,13/11/2022,0,Hybrid
E3162,43,Non-binary,Sales,3,3253,9,4,3/12/2022,9,Remote
